bookno,Title,Author,Language
9629-8.txt, Ghost Stories of an Antiquary, Montague Rhodes James, English
15616-0.txt, Hero Tales, James Baldwin, English
22810-0.txt, Midnight In Beauchamp Row, Anna Katharine Green (Mrs. Charles Rohlfs), English
39716-8.txt, Little Masterpieces, Nathaniel Hawthorne, English
29614.txt, The Game of Rat and Dragon, Cordwainer Smith, English
51546.txt, Handyman, Frank Banta, English
8913-0.txt, The Portent and Other Stories, George MacDonald, English
18464-8.txt," The Wit and Humor of America, Volume I. (of X.)", Various, English
1982-0.txt, Rashomon, Akutagawa Ryunosuke, Japanese
59141-8.txt, Blow the Man Down, Charles L. Fontenay, English
23661.txt, The Book of Dragons, Edith Nesbit, English
12053-8.txt, Gladius Dei; Schwere Stunde, Thomas Mann, German
759.txt, James Pethel, Max Beerbohm, English
20419-8.txt, Gigolo, Edna Ferber, English
10360-8.txt, Kitty's Class Day And Other Stories, Louisa M. Alcott, English
51397.txt, People Soup, Alan Arkin, English
163.txt, Flower Fables, Louisa May Alcott, English
29204.txt, Arm of the Law, Harry Harrison, English
37156-8.txt, Ireland in the Days of Dean Swift, Jonathan Swift and J. Bowles (John Bowles) Daly, English
5336.txt, Stories by Foreign Authors, Various, English
2828-0.txt, Under the Deodars, Rudyard Kipling, English
6120-0.txt, Soldiers Three, Rudyard Kipling, English
10947-8.txt, The Best American Humorous Short Stories, Various, English
42664.txt, Gods of the North, Robert E. Howard, English
375.txt, An Occurrence at Owl Creek, Ambrose Bierce, English
26741-8.txt, I'm a Stranger Here Myself, Dallas McCord Reynolds, English
25628.txt, The Nothing Equation, Tom Godwin, English
59287.txt, Freeway, Bryce Walton, English
58827.txt, Wedding Day, Winston Marks, English
37707-8.txt, A Night on the Borders of the Black Forest, Amelia B. Edwards, English
58826.txt, Double Take, Wilson Parks Griffith, English
25629.txt, Postmark Ganymede, Robert Silverberg, English
31217-8.txt, Household Papers and Stories, Harriet Beecher Stowe, English
23432-8.txt, Masterpieces of Mystery In Four Volumes, Various, English
17669-8.txt," The Three Brides, Love in a Cottage, and Other Tales", Francis A. Durivage, English
43084-8.txt, A Widow's Tale and Other Stories, Mrs. (Margaret) Oliphant, English
40915-8.txt, Johnny Ludlow. First Series, Mrs. Henry Wood, English
